country,leader,source_name,domain,source_type,notes
Canada,Mark Carney,Office of the Prime Minister,pm.gc.ca/en,official,
Canada,Mark Carney,National Post,nationalpost.com,domestic,
Canada,Mark Carney,CBC News,cbc.ca,domestic,
Canada,Mark Carney,La Presse,lapresse.ca,domestic,
Canada,Mark Carney,Globe and Mail,theglobeandmail.com,domestic,
Canada,Mark Carney,Toronto Star,thestar.com,domestic,
Mexico,Claudia Sheinbaum,Presidencia de México,gob.mx/presidencia,official,
Mexico,Claudia Sheinbaum,El Universal,eluniversal.com.mx,domestic,
Mexico,Claudia Sheinbaum,La Jornada,jornada.com.mx,domestic,
Mexico,Claudia Sheinbaum,El Financiero,elfinanciero.com.mx,domestic,
Mexico,Claudia Sheinbaum,Aristegui Noticias,aristeguinoticias.com,domestic,
Mexico,Claudia Sheinbaum,Reforma,reforma.com,domestic,
Brazil,Lula da Silva,Planalto,gov.br/planalto/pt-br/acompanhe-o-planalto/notas-oficiais/notas-a-imprensa,official,
Brazil,Lula da Silva,Folha de S.Paulo,folha.uol.com.br,domestic,
Brazil,Lula da Silva,UOL,noticias.uol.com.br,domestic,
Brazil,Lula da Silva,G1,g1.globo.com,domestic,
Brazil,Lula da Silva,Brasil de Fato,brasildefato.com.br,domestic,
Brazil,Lula da Silva,Gazeta Mercantil,gazetamercantil.com,domestic,
Uruguay,Yamandú Orsi,Presidencia Uruguay,presidencia.gub.uy,official,
Uruguay,Yamandú Orsi,El País,elpais.com.uy,domestic,
Uruguay,Yamandú Orsi,El Observador,elobservador.com.uy,domestic,
Uruguay,Yamandú Orsi,La Diaria,ladiaria.com.uy,domestic,
Uruguay,Yamandú Orsi,Montevideo Portal,montevideo.com.uy,domestic,
France,Emmanuel Macron,Élysée,elysee.fr,official,
France,Emmanuel Macron,Le Monde,lemonde.fr,domestic,
France,Emmanuel Macron,Le Figaro,lefigaro.fr,domestic,
France,Emmanuel Macron,Libération,liberation.fr,domestic,
France,Emmanuel Macron,Les Échos,lesechos.fr,domestic,
France,Emmanuel Macron,Le Point,lepoint.fr,domestic,
United Kingdom,Keir Starmer,UK Government,gov.uk,official,
United Kingdom,Keir Starmer,BBC,bbc.com,domestic,
United Kingdom,Keir Starmer,The Guardian,theguardian.com,domestic,
United Kingdom,Keir Starmer,The Telegraph,telegraph.co.uk,domestic,
United Kingdom,Keir Starmer,The Times,thetimes.co.uk,domestic,
United Kingdom,Keir Starmer,Financial Times,ft.com,domestic,quarantine_paywall
United Kingdom,Keir Starmer,The Independent,independent.co.uk,domestic,
Germany,Friedrich Merz,Bundeskanzleramt,bundeskanzler.de/bk-de/aktuelles,official,google_news_poor
Germany,Friedrich Merz,FAZ,faz.net,domestic,
Germany,Friedrich Merz,Süddeutsche Zeitung,sueddeutsche.de,domestic,
Germany,Friedrich Merz,Der Spiegel,spiegel.de,domestic,quarantine_paywall
Germany,Friedrich Merz,Handelsblatt,handelsblatt.com,domestic,
Germany,Friedrich Merz,Tagesschau,tagesschau.de,domestic,
Italy,Giorgia Meloni,Governo Italiano,governo.it,official,
Italy,Giorgia Meloni,Corriere della Sera,corriere.it,domestic,
Italy,Giorgia Meloni,La Repubblica,repubblica.it,domestic,
Italy,Giorgia Meloni,Il Sole 24 Ore,ilsole24ore.com,domestic,
Italy,Giorgia Meloni,La Stampa,lastampa.it,domestic,
Italy,Giorgia Meloni,ANSA,ansa.it,domestic,
Ukraine,Volodymyr Zelenskyy,Office of the President,president.gov.ua,official,
Ukraine,Volodymyr Zelenskyy,Ukrainska Pravda,pravda.com.ua,domestic,
Ukraine,Volodymyr Zelenskyy,Kyiv Independent,kyivindependent.com,domestic,
Ukraine,Volodymyr Zelenskyy,LB.ua,lb.ua,domestic,
Ukraine,Volodymyr Zelenskyy,Hromadske,hromadske.ua,domestic,
Ukraine,Volodymyr Zelenskyy,Ukrinform,ukrinform.net,domestic,
Finland,Alexander Stubb,Office of the President,presidentti.fi,official,
Finland,Alexander Stubb,Helsingin Sanomat,hs.fi,domestic,
Finland,Alexander Stubb,Yle,yle.fi,domestic,
Finland,Alexander Stubb,Ilta-Sanomat,is.fi,domestic,
Finland,Alexander Stubb,Kauppalehti,kauppalehti.fi,domestic,
Finland,Alexander Stubb,STT,sttinfo.fi,domestic,
Poland,Donald Tusk,Kancelaria Prezydenta,prezydent.pl,official,
Poland,Donald Tusk,Gazeta Wyborcza,wyborcza.pl,domestic,quarantine_paywall
Poland,Donald Tusk,Rzeczpospolita,rp.pl,domestic,
Poland,Donald Tusk,Polityka,polityka.pl,domestic,
Poland,Donald Tusk,Onet,onet.pl,domestic,
Poland,Donald Tusk,PAP,pap.pl,domestic,
Lithuania,Gitanas Nausėda,Office of the President,lrp.lt,official,quarantine_bot_protection
Lithuania,Gitanas Nausėda,Delfi,delfi.lt,domestic,
Lithuania,Gitanas Nausėda,15min,15min.lt,domestic,
Lithuania,Gitanas Nausėda,Verslo žinios,vz.lt,domestic,
Lithuania,Gitanas Nausėda,LRT,lrt.lt,domestic,
Lithuania,Gitanas Nausėda,BNS,bns.lt,domestic,
Latvia,Evika Siliņa,Cabinet of Ministers,mk.gov.lv,official,
Latvia,Evika Siliņa,Delfi Latvija,delfi.lv,domestic,
Latvia,Evika Siliņa,Latvijas Avīze,la.lv,domestic,
Latvia,Evika Siliņa,Diena,diena.lv,domestic,
Latvia,Evika Siliņa,LETA,leta.lv,domestic,
Latvia,Evika Siliņa,LSM,lsm.lv,domestic,
Estonia,Kristen Michal,Valitsus,valitsus.ee,official,google_news_poor
Estonia,Kristen Michal,Postimees,postimees.ee,domestic,
Estonia,Kristen Michal,Delfi Estonia,delfi.ee,domestic,
Estonia,Kristen Michal,Äripäev,aripaev.ee,domestic,
Estonia,Kristen Michal,ERR,err.ee,domestic,
Estonia,Kristen Michal,BNS,bns.ee,domestic,
Moldova,Maia Sandu,Președintele Republicii Moldova,presedinte.md,official,
Moldova,Maia Sandu,Ziarul de Gardă,zdg.md,domestic,
Moldova,Maia Sandu,NewsMaker,newsmaker.md,domestic,
Moldova,Maia Sandu,IPN,ipn.md,domestic,
Moldova,Maia Sandu,Infotag,infotag.md,domestic,
Moldova,Maia Sandu,Radio Europa Liberă,europalibera.org,domestic,
