domain,opinion_type,opinion_pattern,country
postimees.ee,subdomain,arvamus.postimees.ee,Estonia
faz.net,subdomain,blogs.faz.net,Germany
montevideo.com.uy,subdomain,blogs.montevideo.com.uy,Uruguay
aristeguinoticias.com,subdomain,editorial.aristeguinoticias.com,Mexico
aristeguinoticias.com,path,/opinion/,Mexico
cbc.ca,path,/news/opinion,Canada
theglobeandmail.com,path,/opinion/,Canada
theglobeandmail.com,path,/commentary/,Canada
thestar.com,path,/opinion/,Canada
nationalpost.com,path,/opinion/,Canada
lapresse.ca,path,/dialogue/opinions/,Canada
lapresse.ca,path,/chroniques/,Canada
eluniversal.com.mx,path,/opinion/,Mexico
eluniversal.com.mx,path,/blogs/,Mexico
jornada.com.mx,path,/opinion/,Mexico
jornada.com.mx,path,/editorial/,Mexico
jornada.com.mx,path,/columnas/,Mexico
elfinanciero.com.mx,path,/opinion/,Mexico
reforma.com,path,/editoriales/,Mexico
reforma.com,regex,/op\d+$,Mexico
folha.uol.com.br,path,/colunistas/,Brazil
brasildefato.com.br,path,/editoria/opiniao/,Brazil
g1.globo.com,path,/blogs/,Brazil
noticias.uol.com.br,path,/colunistas/,Brazil
elpais.com.uy,path,/opinion,Uruguay
elobservador.com.uy,path,/opinion,Uruguay
ladiaria.com.uy,path,/opinion/,Uruguay
ladiaria.com.uy,path,/seccion/editorial/,Uruguay
lemonde.fr,path,/idees/,France
lefigaro.fr,path,/vox/,France
liberation.fr,path,/idees-et-debats/,France
lesechos.fr,path,/idees-debats/,France
lepoint.fr,path,/debats/,France
theguardian.com,path,/commentisfree,UK
telegraph.co.uk,path,/opinion/,UK
thetimes.co.uk,path,/opinion,UK
ft.com,path,/opinion,UK
independent.co.uk,path,/voices,UK
faz.net,path,/aktuell/feuilleton/debatten/,Germany
sueddeutsche.de,path,/meinung/,Germany
spiegel.de,path,/debatten/,Germany
handelsblatt.com,path,/meinung/,Germany
corriere.it,path,/opinioni/,Italy
repubblica.it,path,/commenti/,Italy
ilsole24ore.com,path,/sez/commenti/opinioni,Italy
ilsole24ore.com,path,/sez/commenti/editoriali,Italy
lastampa.it,path,/opinioni/,Italy
pravda.com.ua,path,/columns/,Ukraine
pravda.com.ua,path,/eng/columns/,Ukraine
kyivindependent.com,path,/tag/opinion/,Ukraine
kyivindependent.com,path,/tag/editorial/,Ukraine
lb.ua,path,/blog/,Ukraine
hromadske.ua,path,/thoughts,Ukraine
hromadske.ua,path,/en/thoughts,Ukraine
ukrinform.net,path,/rubric-polytics/,Ukraine
hs.fi,path,/mielipide/,Finland
yle.fi,path,/a/kolumnit/,Finland
is.fi,path,/kolumnit/,Finland
kauppalehti.fi,path,/uutiset/kommentit/,Finland
wyborcza.pl,path,/opinie/,Poland
rp.pl,path,/publicystyka/opinie-polityczno-spoleczne,Poland
rp.pl,path,/publicystyka/komentarze,Poland
polityka.pl,path,/tygodnikpolityka/,Poland
onet.pl,path,/opinie/,Poland
delfi.lt,path,/news/ringas/,Lithuania
delfi.lv,path,/news/comment/,Latvia
delfi.ee,path,/artikkel/arvamus/,Estonia
delfi.ee,subdomain,arvamus.delfi.ee,Estonia
15min.lt,path,/articles/opinion,Lithuania
lrt.lt,path,/en/category/opinion/,Lithuania
lsm.lv,path,/en/category/commentary/,Latvia
err.ee,path,/k/opinion,Estonia
postimees.ee,path,/arvamus/,Estonia
aripaev.ee,path,/juhtkiri/,Estonia
zdg.md,path,/opinii/,Moldova
zdg.md,path,/blog/editoriale/,Moldova
newsmaker.md,path,/analiz/,Moldova
europalibera.org,path,/a/opinii/,Moldova
